bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,7.725683936457219e-13,8.933858611738332e-13,0.0,0.0,8.507000030402408e-13,8.029774404398297e-13,-9.435937280519234e-15
LT2,3.96,-2.330657804067463e-06,1.2974970568052817e-05,-31.679999999999996,0.0,-2.330615770987644e-06,1.2974899308347886e-05,-5.075789541574772e-12
LT1,7.92,-5.440385244949099e-06,1.646257934944844e-05,0.0,0.0,-5.436615481185405e-06,1.645230465083784e-05,-4.783487109791977e-10
LT2,7.92,1.2940461928485901e-05,3.725214317810074e-05,-32.05,0.07599999999999985,1.294050894530637e-05,3.725206224253216e-05,-5.717441005732757e-12
LT1,11.88,5.071543039584507e-05,4.244920260911869e-05,0.0,0.0,4.6294881419367196e-05,5.48081440880461e-05,5.918708767381356e-07
LT2,11.88,6.338325937053667e-05,7.526060364415946e-05,-32.05,0.6589999999999998,6.338331994843332e-05,7.526049141438246e-05,-7.927951603981835e-12
LT1,15.84,0.0001873456166527655,0.0001266039348268539,0.0,0.0,0.00018734504343489533,0.00012660574526346892,7.603632685507528e-11
LT2,15.84,0.0001873457519925614,0.00012660344312783437,-32.05,1.2419999999999998,0.00018734564154458674,0.00012660366648808554,1.5579736689883878e-11
LT1,19.8,0.00045861199235827204,0.00023139805272737873,0.0,0.0,0.0004586569849331552,0.00023123924532683315,-6.4007825441036646e-09
LT2,19.8,0.00039699669582019437,0.00014181918240516433,-32.05,1.825,0.0003969966771261842,0.00014181922253437356,2.904123341392034e-12
